generation,best_fitness,avg,time
0,0.03438454233326032,0.027591569873621147,144.854928ms
1,0.03683906786470892,0.030433998100664782,144.854928ms
2,0.04403170428811453,0.03283205493461905,144.854928ms
3,0.047589305281612954,0.03671853312878955,144.854928ms
4,0.04915698736211554,0.04177668200745124,144.854928ms
5,0.05056249543429027,0.04638454233326027,144.854928ms
6,0.05515304258893998,0.04933932354445172,144.854928ms
7,0.05817590766308709,0.0526884359704872,144.854928ms
8,0.06072247790196512,0.05403784060194313,144.854928ms
9,0.06551172474249399,0.05876185258236538,144.854928ms
10,0.07090437577617065,0.06243348674117906,144.854928ms
11,0.07325370735627144,0.06689458689458691,144.854928ms
12,0.07722185696544667,0.07069449923296078,144.854928ms
13,0.0802724815545328,0.07390393746804,144.854928ms
14,0.08369420702754042,0.07827379647892467,144.854928ms
15,0.09094966761633431,0.08127102052743078,144.854928ms
16,0.09116882168164223,0.0848689458689459,144.854928ms
17,0.09797428592300388,0.08724559865585509,144.854928ms
18,0.10383008254803125,0.0933542260208927,144.854928ms
19,0.1115603769449923,0.09895003287310979,144.854928ms
20,0.11467674775367077,0.10605340054057999,144.854928ms
21,0.12785082913288043,0.10969829790342608,144.854928ms
22,0.12191467601724013,0.1127123968149609,144.854928ms
23,0.1321170282708744,0.11827116663014099,144.854928ms
24,0.1310913872452334,0.12345591350719558,144.854928ms
25,0.14311125721382134,0.12982884067499453,144.854928ms
26,0.14692161589597488,0.1362029366644751,144.854928ms
27,0.1539257798232157,0.14293987873475053,144.854928ms
28,0.16001241873036742,0.14989144568631746,144.854928ms
29,0.1641953393235444,0.1554906129008693,144.854928ms
30,0.16656074220176778,0.158239900650157,144.854928ms
31,0.17004383081306162,0.16350653809628163,144.854928ms
32,0.17445028855285266,0.16586953027978665,144.854928ms
33,0.18104390386441668,0.16849514208488567,144.854928ms
34,0.1850032873109796,0.17312579443348672,144.854928ms
35,0.18377602454525527,0.17524026590693256,144.854928ms
36,0.19178683614581055,0.1795597194827964,144.854928ms
37,0.20062897216743372,0.18435802469135804,144.854928ms
