generation,best_fitness,avg,time
0,-0.025887573964497007,-0.04810157790927022,162.026971ms
1,-0.004273504273504258,-0.03088017751479292,162.026971ms
2,0.01939513477975019,-0.017936390532544384,162.026971ms
3,0.028846153846153882,-0.004183103221564773,162.026971ms
4,0.047583826429980214,0.012126068376068356,162.026971ms
5,0.03747534516765284,0.008374424720578559,162.026971ms
6,0.04257067718606178,0.020085470085470063,162.026971ms
7,0.06607495069033525,0.035634451019066385,162.026971ms
8,0.07495069033530574,0.04569362261669953,162.026971ms
9,0.086620644312952,0.06222468770545693,162.026971ms
10,0.0997698882314267,0.07053747534516763,162.026971ms
11,0.10700197238658782,0.08615220249835635,162.026971ms
12,0.12845167652859954,0.09289940828402364,162.026971ms
13,0.12935568704799474,0.10581443129520052,162.026971ms
14,0.15294214332675873,0.11676117685733071,162.026971ms
15,0.15327087442472054,0.12603550295857985,162.026971ms
16,0.1907462195923735,0.1366946088099934,162.026971ms
17,0.20652531229454302,0.1541748849441157,162.026971ms
18,0.2333168967784352,0.16970332018408937,162.026971ms
19,0.23857659434582518,0.2053295529257068,162.026971ms
20,0.2587935568704799,0.21918967784352397,162.026971ms
21,0.26306706114398415,0.23343195266272193,162.026971ms
22,0.26446416831032216,0.237861604207758,162.026971ms
23,0.2687376725838264,0.24224194608809993,162.026971ms
24,0.2687376725838264,0.24638806706114394,162.026971ms
25,0.28007889546351084,0.25572403024326096,162.026971ms
26,0.28007889546351084,0.2682897764628534,162.026971ms
27,0.2805719921104537,0.26861850756081523,162.026971ms
28,0.30046022353714663,0.27601495726495723,162.026971ms
29,0.30867850098619326,0.2713182117028271,162.026971ms
30,0.30867850098619326,0.28116781722550954,162.026971ms
31,0.30752794214332674,0.28426610782380013,162.026971ms
32,0.3210880999342538,0.28826019066403685,162.026971ms
33,0.32133464825772523,0.29225016436554896,162.026971ms
34,0.32133464825772523,0.299301446416831,162.026971ms
35,0.32297830374753456,0.303258547008547,162.026971ms
36,0.3282380013149244,0.30734714003944774,162.026971ms
37,0.3394148586456278,0.3048980933596318,162.026971ms
38,0.3394148586456278,0.30924556213017745,162.026971ms
39,0.3394148586456278,0.32632314266929646,162.026971ms
40,0.3394148586456278,0.330802103879027,162.026971ms
41,0.34171597633136086,0.333189513477975,162.026971ms
42,0.3641518737672583,0.3335018080210387,162.026971ms
43,0.3641518737672583,0.33844921104536485,162.026971ms
44,0.3641518737672583,0.338034188034188,162.026971ms
45,0.3641518737672583,0.3429446088099934,162.026971ms
46,0.3641518737672583,0.33787393162393153,162.026971ms
47,0.3641518737672583,0.34546351084812615,162.026971ms
48,0.3699868507560815,0.3550788954635109,162.026971ms
49,0.3699868507560815,0.3599523339907954,162.026971ms
50,0.3699868507560815,0.35639381985535823,162.026971ms
51,0.3699868507560815,0.36100427350427344,162.026971ms
52,0.3788625904010519,0.358629191321499,162.026971ms
53,0.3754109138724523,0.36881163708086784,162.026971ms
54,0.3754109138724523,0.3698224852071005,162.026971ms
55,0.3754109138724523,0.3625862919132149,162.026971ms
56,0.3754109138724523,0.3710552268244575,162.026971ms
57,0.3770545693622617,0.3641559829059828,162.026971ms
58,0.3788625904010519,0.36814184746877043,162.026971ms
59,0.3788625904010519,0.3714373767258382,162.026971ms
60,0.3788625904010519,0.3626232741617357,162.026971ms
61,0.3798487836949376,0.3743795200525969,162.026971ms
62,0.39981919789612097,0.37507396449704145,162.026971ms
63,0.39784681130834976,0.3758999013806706,162.026971ms
64,0.39981919789612097,0.38209648257725176,162.026971ms
65,0.39981919789612097,0.3794501972386587,162.026971ms
66,0.39981919789612097,0.3826512163050624,162.026971ms
67,0.39981919789612097,0.3975016436554897,162.026971ms
68,0.39981919789612097,0.39448142669296504,162.026971ms
69,0.39981919789612097,0.3908982577251806,162.026971ms
70,0.39981919789612097,0.39624835634451006,162.026971ms
71,0.39981919789612097,0.39972057856673227,162.026971ms
72,0.39981919789612097,0.3950690335305719,162.026971ms
73,0.39981919789612097,0.3931171926364233,162.026971ms
74,0.39981919789612097,0.3949211045364891,162.026971ms
75,0.39981919789612097,0.3920405982905982,162.026971ms
76,0.39981919789612097,0.3920775805391189,162.026971ms
77,0.39981919789612097,0.38941074950690324,162.026971ms
78,0.39981919789612097,0.39625246548323456,162.026971ms
79,0.39981919789612097,0.39277202498356334,162.026971ms
80,0.39981919789612097,0.39340072320841546,162.026971ms
81,0.39981919789612097,0.38816978961209725,162.026971ms
82,0.39981919789612097,0.39583333333333326,162.026971ms
83,0.39981919789612097,0.3860823471400393,162.026971ms
84,0.39981919789612097,0.391921433267587,162.026971ms
85,0.39981919789612097,0.3971934582511504,162.026971ms
86,0.39981919789612097,0.3991411900065745,162.026971ms
87,0.39981919789612097,0.3883464825772517,162.026971ms
88,0.39981919789612097,0.39203238001314916,162.026971ms
